name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"washington, dc",2024-01-16,30.8,20,28.2,23.9,7,18,20.3,73.3,0.058,100,33.33,"rain,snow",1.6,2.9,37.5,24,337.9,1013.8,83.7,7.8,25.5,2.1,4,10,2024-01-16T07:25:04,2024-01-16T17:10:53,0.18,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-01-17,29.1,15.8,23,21.8,6.1,13.9,4.3,45,0,0,0,,0,1.8,21.9,13.7,256.5,1020.1,7.8,9.9,126,10.9,5,10,2024-01-17T07:24:40,2024-01-17T17:11:58,0.25,Clear,Clear conditions throughout the day.,clear-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-01-18,35.9,23.4,29.9,35.6,16,26.1,14.3,52.1,0,0,0,,0,0.7,12.3,7.6,203.3,1020.8,77,9.9,53.8,4.8,3,10,2024-01-18T07:24:14,2024-01-18T17:13:04,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-01-19,33.2,29.7,31.5,33.2,20.2,24.2,25.3,78.4,0.219,100,62.5,"rain,snow",3.1,4,20.8,12.7,343.1,1011.4,92,5,9,0.8,0,10,2024-01-19T07:23:46,2024-01-19T17:14:10,0.29,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-01-20,28.9,20.8,24.3,19.8,7.7,12.9,8.1,50.2,0.001,100,4.17,snow,0,5.1,35.7,19.9,302.2,1021.3,59.5,9.9,95.6,8.4,5,10,2024-01-20T07:23:16,2024-01-20T17:15:17,0.32,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-01-21,33.1,20.8,27.1,25.7,9.4,16.8,10.4,49.2,0,0,0,,0,3.8,36.1,18.6,310.5,1032.1,19.7,9.9,129,11,5,10,2024-01-21T07:22:44,2024-01-21T17:16:24,0.36,Clear,Clear conditions throughout the day.,clear-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-01-22,38.4,21,29.5,38.4,15.1,24.8,15.9,57.6,0,0,0,,0,3.5,14.8,9.8,212.9,1035.5,36,9.9,116.1,10,5,10,2024-01-22T07:22:10,2024-01-22T17:17:32,0.39,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-01-23,45,29.3,36.3,45,26.5,34.6,23.8,61.5,0,0,0,,0,2,12.3,8.3,132.5,1032.3,81.8,9.9,82.5,7,3,10,2024-01-23T07:21:34,2024-01-23T17:18:40,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-01-24,51.5,38,44,51.5,33.8,42.8,35.6,72.3,0,0,0,,0,0,21.3,5.5,35.8,1029.3,96.6,9.4,33,2.8,1,10,2024-01-24T07:20:56,2024-01-24T17:19:49,0.46,Overcast,Cloudy skies throughout the day.,cloudy,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-01-25,65.3,46.4,55.2,65.3,44.5,55,52.7,91.4,0.104,100,37.5,rain,0,0,22.8,6.9,126.3,1020.3,99.8,5.7,27.4,2.3,1,10,2024-01-25T07:20:17,2024-01-25T17:20:58,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
